arrival_time,amplitude,icloud,distance,station,station_y,station_x,Max_disp_10_49_Z,CF_1_49_Z,CF_vel_1_49_Z,polarity,trig_on,trig_off
2016-07-11 14:41:57.692866+00:00,3.43,True,6350.8,A018A,47.7437,15.0776,6.10118226784e-08,37.6841289797,43.3016591346,Positive,4711,7146
2016-05-25 17:17:03.188825+00:00,7.29,True,6376.11,A027A,46.8159,14.0074,1.47975422578e-08,15.790862827,30.9796958422,Positive,4646,5770
2016-04-04 17:46:13.635810+00:00,-4.31,False,6383.58,A362A,48.3636,10.4021,1.37081605842e-08,5.49497440071,17.4519428612,Negative,3779,5448
2016-05-07 19:31:05.249897+00:00,-19.29,True,6385.09,A020A,46.9484,15.2994,5.95876708102e-08,13.4696130847,26.1037088294,Negative,3959,5329
2016-04-06 19:00:36.531393+00:00,7.55,False,6410.68,A018A,47.7437,15.0776,7.56693277419e-08,33.0276883386,41.1957755577,Positive,3556,4805
2017-07-06 21:37:53.975288+00:00,-26.46,False,6423.6,A026A,46.9332,14.5516,3.62091513114e-09,15.6334780026,32.5954584146,Negative,4031,6436
2017-05-04 18:05:20.843373+00:00,5.39,True,6423.85,A079A,49.2288,14.7074,1.37413792331e-08,17.7830941614,25.2252991133,Positive,4235,5028
2017-06-26 23:58:32.276718+00:00,9.03,True,6449.94,A117A,49.0441,9.56839,4.83098466768e-08,23.1177375858,38.7869512607,Positive,3537,5839
2017-06-23 05:36:51.857519+00:00,-4.98,False,6456.73,A025A,47.5207,14.4165,2.28900310253e-08,8.30475771229,32.9776924829,Negative,4058,5152
2016-06-30 16:23:50.699447+00:00,9.21,False,6459.76,A005B,48.3719,16.2054,7.25692550189e-09,11.3324092368,38.3248817174,Positive,4978,5828
2018-07-28 15:15:24.898917+00:00,2.57,True,6474.72,A033A,47.4797,13.126,4.09647832516e-09,10.8604826367,27.5246449365,Positive,4003,5804
2017-06-28 22:09:57.012992+00:00,-11.59,True,6476.92,A119A,49.0071,10.0384,8.31485804319e-09,6.63298701309,12.4435043613,Negative,4703,5238
2017-07-01 17:04:03.585804+00:00,-12.46,False,6480.82,A012A,47.604,15.586,4.97333142433e-08,19.3911635434,35.7238752708,Negative,4032,5577
2016-06-05 12:20:50.701339+00:00,-32.35,True,6507.29,A360A,48.7289,10.2971,4.83263395195e-08,21.9957727003,28.8972446952,Negative,4221,6029
